root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:19:18.348215 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14612:14760, ack 1, win 501, length 148
20:19:18.348253 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14760:14796, ack 1, win 501, length 36
20:19:18.348295 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14796:14944, ack 1, win 501, length 148
20:19:18.348331 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14944:14980, ack 1, win 501, length 36
20:19:18.348385 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14980:15128, ack 1, win 501, length 148
20:19:18.348412 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15128:15164, ack 1, win 501, length 36
20:19:18.348459 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15164:15312, ack 1, win 501, length 148
20:19:18.348485 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15312:15348, ack 1, win 501, length 36
20:19:18.348526 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15348:15496, ack 1, win 501, length 148
20:19:18.348557 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15496:15532, ack 1, win 501, length 36
20:19:18.348592 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15532:15680, ack 1, win 501, length 148
20:19:18.348619 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15680:15716, ack 1, win 501, length 36
20:19:18.348654 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15716:15864, ack 1, win 501, length 148
20:19:18.348719 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15864:15900, ack 1, win 501, length 36
20:19:18.348818 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 15900:16048, ack 1, win 501, length 148
20:19:18.348850 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16048:16084, ack 1, win 501, length 36
20:19:18.348893 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16084:16232, ack 1, win 501, length 148
20:19:18.348921 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16232:16268, ack 1, win 501, length 36
20:19:18.348965 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16268:16416, ack 1, win 501, length 148
20:19:18.349017 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16416:16452, ack 1, win 501, length 36
20:19:18.349041 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16452:16600, ack 1, win 501, length 148
20:19:18.349076 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16600:16636, ack 1, win 501, length 36
20:19:18.349126 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16636:16784, ack 1, win 501, length 148
20:19:18.349165 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16784:16820, ack 1, win 501, length 36
20:19:18.349206 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16820:16968, ack 1, win 501, length 148
20:19:18.349242 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 16968:17004, ack 1, win 501, length 36
20:19:18.349272 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 17004:17152, ack 1, win 501, length 148
20:19:18.349315 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 17152:17308, ack 1, win 501, length 156
20:19:18.349365 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 17308:17576, ack 1, win 501, length 268
20:19:18.349414 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 17576:17844, ack 1, win 501, length 268
20:19:18.349464 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 17844:18112, ack 1, win 501, length 268
20:19:18.349515 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 18112:18380, ack 1, win 501, length 268
20:19:18.349574 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 18380:18760, ack 1, win 501, length 380
20:19:18.349635 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 18760:19140, ack 1, win 501, length 380
20:19:18.349686 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 19140:19408, ack 1, win 501, length 268
20:19:18.349743 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 19408:19788, ack 1, win 501, length 380
20:19:18.349792 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 19788:20056, ack 1, win 501, length 268
20:19:18.349852 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 20056:20444, ack 1, win 501, length 388
20:19:18.349902 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 20444:20720, ack 1, win 501, length 276
20:19:18.349961 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 20720:21108, ack 1, win 501, length 388
20:19:18.350026 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 21108:21496, ack 1, win 501, length 388
20:19:18.350099 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 21496:21772, ack 1, win 501, length 276
20:19:18.350169 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 21772:22016, ack 1, win 501, length 244
20:19:18.350230 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 22016:22276, ack 1, win 501, length 260
20:19:18.360850 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 14612, win 4105, length 0
